"Time","Processes"
2023-04-03 17:16:20,1528
2023-04-03 17:16:40,1527
2023-04-03 17:17:00,1527.6
2023-04-03 17:17:20,1545.8
2023-04-03 17:17:40,1541.4
2023-04-03 17:18:00,1528.2
2023-04-03 17:18:20,1527
2023-04-03 17:18:40,1527
2023-04-03 17:19:00,1527
2023-04-03 17:19:20,1527
2023-04-03 17:19:40,1527
2023-04-03 17:20:00,1527
2023-04-03 17:20:20,1527
2023-04-03 17:20:40,1527
2023-04-03 17:21:00,1528
2023-04-03 17:21:20,1528
2023-04-03 17:21:40,1528
2023-04-03 17:22:00,1528
2023-04-03 17:22:20,1528.2
2023-04-03 17:22:40,1531
2023-04-03 17:23:00,1527
2023-04-03 17:23:20,1527.4
2023-04-03 17:23:40,1528
2023-04-03 17:24:00,1528
2023-04-03 17:24:20,1528
2023-04-03 17:24:40,1528
2023-04-03 17:25:00,1528
2023-04-03 17:25:20,1528
2023-04-03 17:25:40,1528
2023-04-03 17:26:00,1527
2023-04-03 17:26:20,1527
2023-04-03 17:26:40,1527
2023-04-03 17:27:00,1527
2023-04-03 17:27:20,1531
2023-04-03 17:27:40,1531
2023-04-03 17:28:00,1532.4
2023-04-03 17:28:20,1532
2023-04-03 17:28:40,1532
2023-04-03 17:29:00,1528.2
2023-04-03 17:29:20,1529
2023-04-03 17:29:40,1529
2023-04-03 17:30:00,1529
2023-04-03 17:30:20,1529
2023-04-03 17:30:40,1529
2023-04-03 17:31:00,1529
2023-04-03 17:31:20,1529
2023-04-03 17:31:40,1529
2023-04-03 17:32:00,1529
2023-04-03 17:32:20,1528
2023-04-03 17:32:40,1529
2023-04-03 17:33:00,1529
2023-04-03 17:33:20,1528.8
2023-04-03 17:33:40,1528
2023-04-03 17:34:00,1528
2023-04-03 17:34:20,1528
2023-04-03 17:34:40,1529.4
2023-04-03 17:35:00,1528.4
2023-04-03 17:35:20,1529
2023-04-03 17:35:40,1528
2023-04-03 17:36:00,1528
2023-04-03 17:36:20,1528.4
2023-04-03 17:36:40,1528.6
2023-04-03 17:37:00,1528
2023-04-03 17:37:20,1531
2023-04-03 17:37:40,1531
2023-04-03 17:38:00,1531
2023-04-03 17:38:20,1531.4
2023-04-03 17:38:40,1362
2023-04-03 17:39:00,1312.2
2023-04-03 17:39:20,1898
2023-04-03 17:39:40,1488.8
2023-04-03 17:40:00,1169.6
2023-04-03 17:40:20,1169
2023-04-03 17:40:40,1169
2023-04-03 17:41:00,1169.8
2023-04-03 17:41:20,1170
2023-04-03 17:41:40,1338
2023-04-03 17:42:00,1917.2
2023-04-03 17:42:20,1357.4
2023-04-03 17:42:40,2121
2023-04-03 17:43:00,3914.6
2023-04-03 17:43:20,4143.4
2023-04-03 17:43:40,1310
2023-04-03 17:44:00,1995
2023-04-03 17:44:20,2063.4
2023-04-03 17:44:40,2000.4
2023-04-03 17:45:00,3490.6
2023-04-03 17:45:20,4159.6
2023-04-03 17:45:40,1495.2
2023-04-03 17:46:00,1552.2
2023-04-03 17:46:20,2285.6
2023-04-03 17:46:40,1497.6
2023-04-03 17:47:00,2100.4
2023-04-03 17:47:20,3870
2023-04-03 17:47:40,4163
2023-04-03 17:48:00,1216.4
2023-04-03 17:48:20,2174.2
2023-04-03 17:48:40,2576.25
2023-04-03 17:49:00,1252.8
2023-04-03 17:49:20,2191.4
2023-04-03 17:49:40,4156.4
2023-04-03 17:50:00,4136.8
2023-04-03 17:50:20,1357.4
2023-04-03 17:50:40,2548.2
2023-04-03 17:51:00,2732
2023-04-03 17:51:20,1202.2
2023-04-03 17:51:40,2450.8
2023-04-03 17:52:00,4241.8
2023-04-03 17:52:20,4158.8
2023-04-03 17:52:40,1216
2023-04-03 17:53:00,2474.6
2023-04-03 17:53:20,3081.8
2023-04-03 17:53:40,2761.2
2023-04-03 17:54:00,2031.6
2023-04-03 17:54:20,3568.8
2023-04-03 17:54:40,4168
2023-04-03 17:55:00,4095.2
2023-04-03 17:55:20,1530.6
2023-04-03 17:55:40,2258.4
2023-04-03 17:56:00,2058.8
2023-04-03 17:56:20,2237.8
2023-04-03 17:56:40,3573.8
2023-04-03 17:57:00,4097.6
2023-04-03 17:57:20,1986.6
2023-04-03 17:57:40,1522.2
2023-04-03 17:58:00,2425.6
2023-04-03 17:58:20,2166.8
2023-04-03 17:58:40,2157
2023-04-03 17:59:00,3650.8
2023-04-03 17:59:20,4110
2023-04-03 17:59:40,1758.4
2023-04-03 18:00:00,1622.2
2023-04-03 18:00:20,2950.8
2023-04-03 18:00:40,2916.2
2023-04-03 18:01:00,1440.4
2023-04-03 18:01:20,3150.8
2023-04-03 18:01:40,4207.2
2023-04-03 18:02:00,4077.4
2023-04-03 18:02:20,1287.2
2023-04-03 18:02:40,2835.8
2023-04-03 18:03:00,3255
2023-04-03 18:03:20,2200.8
2023-04-03 18:03:40,1984.6
2023-04-03 18:04:00,3625.6
2023-04-03 18:04:20,4112.8
2023-04-03 18:04:40,1340
2023-04-03 18:05:00,2004.6
2023-04-03 18:05:20,3861.4
2023-04-03 18:05:40,3776.2
2023-04-03 18:06:00,1216
2023-04-03 18:06:20,2747.8
2023-04-03 18:06:40,4199.6
2023-04-03 18:07:00,4103.4
2023-04-03 18:07:20,1210.8
2023-04-03 18:07:40,2707.6
2023-04-03 18:08:00,4191.4
2023-04-03 18:08:20,4104
2023-04-03 18:08:40,1526
2023-04-03 18:09:00,2138.2
2023-04-03 18:09:20,3631.4
2023-04-03 18:09:40,4103.4
2023-04-03 18:10:00,4036.4
2023-04-03 18:10:20,1394.4
2023-04-03 18:10:40,1933.8
2023-04-03 18:11:00,1862.8
2023-04-03 18:11:20,2134.4
2023-04-03 18:11:40,3629
2023-04-03 18:12:00,4177
2023-04-03 18:12:20,1368.8
2023-04-03 18:12:40,1638.4
2023-04-03 18:13:00,2089.4
2023-04-03 18:13:20,1212.6
2023-04-03 18:13:40,2696
2023-04-03 18:14:00,4230.6
2023-04-03 18:14:20,4152.4
2023-04-03 18:14:40,1506.8
2023-04-03 18:15:00,2199
2023-04-03 18:15:20,2242.6
2023-04-03 18:15:40,1963
2023-04-03 18:16:00,3564.2
2023-04-03 18:16:20,4183.6
2023-04-03 18:16:40,1397.6
2023-04-03 18:17:00,1716.4
