"Time","load5"
2023-07-25 15:37:15,1.01
2023-07-25 15:37:30,1.05
2023-07-25 15:37:45,1.83
2023-07-25 15:38:00,4.683607
2023-07-25 15:38:15,4.83
2023-07-25 15:38:30,5.15
2023-07-25 15:38:45,5.58
2023-07-25 15:39:00,6.23
2023-07-25 15:39:15,6.42
2023-07-25 15:39:30,6.59
2023-07-25 15:39:45,6.57
2023-07-25 15:40:00,6.63
2023-07-25 15:40:15,12.01
2023-07-25 15:40:30,11.93
2023-07-25 15:40:45,11.52
2023-07-25 15:41:00,11.04
2023-07-25 15:41:15,10.79
2023-07-25 15:41:30,11.05
2023-07-25 15:41:45,13.31
2023-07-25 15:42:00,13.62
2023-07-25 15:42:15,13.56
2023-07-25 15:42:30,13.61
2023-07-25 15:42:45,13.35
2023-07-25 15:43:00,12.87
2023-07-25 15:43:15,12.803439
2023-07-25 15:43:30,14.3
2023-07-25 15:43:45,14.66
2023-07-25 15:44:00,14.61
2023-07-25 15:44:15,14.69
2023-07-25 15:44:30,14.37
2023-07-25 15:44:45,13.957293
2023-07-25 15:45:00,13.8
2023-07-25 15:45:15,13.45
2023-07-25 15:45:30,13.21
2023-07-25 15:45:45,12.79
2023-07-25 15:46:00,12.28
2023-07-25 15:46:15,14.24064
2023-07-25 15:46:30,15.03
2023-07-25 15:46:45,15.38
2023-07-25 15:47:00,15.23
2023-07-25 15:47:15,15.335
2023-07-25 15:47:30,15.42
2023-07-25 15:47:45,14.84
2023-07-25 15:48:00,14.72
2023-07-25 15:48:15,14.52
2023-07-25 15:48:30,15.44
2023-07-25 15:48:45,14.9
2023-07-25 15:49:00,15.03
2023-07-25 15:49:15,15.11
2023-07-25 15:49:30,18.55
2023-07-25 15:49:45,17.67
2023-07-25 15:50:00,17
2023-07-25 15:50:15,17.06
2023-07-25 15:50:30,16.37
2023-07-25 15:50:45,20.41
2023-07-25 15:51:00,22.22
2023-07-25 15:51:15,21.59
2023-07-25 15:51:30,20.99278
2023-07-25 15:51:45,20.54
2023-07-25 15:52:00,19.74
2023-07-25 15:52:15,19.74
2023-07-25 15:52:30,23.54
2023-07-25 15:52:45,23.3
2023-07-25 15:53:00,22.37
2023-07-25 15:53:15,21.53
2023-07-25 15:53:30,21.61
2023-07-25 15:53:45,20.92
2023-07-25 15:54:00,20.22
2023-07-25 15:54:15,19.57
2023-07-25 15:54:30,18.98
2023-07-25 15:54:45,21.7
2023-07-25 15:55:00,22.69
2023-07-25 15:55:15,22.04572
2023-07-25 15:55:30,21.58
2023-07-25 15:55:45,21.12
2023-07-25 15:56:00,20.4
2023-07-25 15:56:15,19.81
2023-07-25 15:56:30,19.8
2023-07-25 15:56:45,21.01
2023-07-25 15:57:00,20.42
2023-07-25 15:57:15,20.01
2023-07-25 15:57:30,19.8185
2023-07-25 15:57:45,18.99
2023-07-25 15:58:00,18.27
2023-07-25 15:58:15,18.2706
2023-07-25 15:58:30,21.81
2023-07-25 15:58:45,22.56
2023-07-25 15:59:00,21.83
2023-07-25 15:59:15,21.66737
2023-07-25 15:59:30,21.39
2023-07-25 15:59:45,21.23
2023-07-25 16:00:00,21.05

