"Time","in"
2023-07-25 15:37:15,488.04856
2023-07-25 15:37:30,497.96996
2023-07-25 15:37:45,688.66746
2023-07-25 15:38:00,25.5999994
2023-07-25 15:38:15,0
2023-07-25 15:38:30,217.5577918
2023-07-25 15:38:45,274.435428
2023-07-25 15:39:00,182.085664
2023-07-25 15:39:15,375.052588
2023-07-25 15:39:30,792.4495
2023-07-25 15:39:45,238.4
2023-07-25 15:40:00,895.43078
2023-07-25 15:40:15,712.89144
2023-07-25 15:40:30,515.128716
2023-07-25 15:40:45,116.92792
2023-07-25 15:41:00,26.4000006
2023-07-25 15:41:15,0
2023-07-25 15:41:30,0
2023-07-25 15:41:45,0
2023-07-25 15:42:00,228.00001
2023-07-25 15:42:15,445.6
2023-07-25 15:42:30,173.839014
2023-07-25 15:42:45,15.2
2023-07-25 15:43:00,119.01918
2023-07-25 15:43:15,0
2023-07-25 15:43:30,8
2023-07-25 15:43:45,5.76776
2023-07-25 15:44:00,482.403472
2023-07-25 15:44:15,751.34086
2023-07-25 15:44:30,702.92494
2023-07-25 15:44:45,266.507526
2023-07-25 15:45:00,206.3999994
2023-07-25 15:45:15,0
2023-07-25 15:45:30,472.643554
2023-07-25 15:45:45,267.003836
2023-07-25 15:46:00,192.479988
2023-07-25 15:46:15,269.999598
2023-07-25 15:46:30,107.152348
2023-07-25 15:46:45,0.8
2023-07-25 15:47:00,1.9859262
2023-07-25 15:47:15,10.8554608
2023-07-25 15:47:30,19.5304703
2023-07-25 15:47:45,245.738416
2023-07-25 15:48:00,202.505314
2023-07-25 15:48:15,0
2023-07-25 15:48:30,0
2023-07-25 15:48:45,0
2023-07-25 15:49:00,5.6
2023-07-25 15:49:15,352.9298
2023-07-25 15:49:30,2.4
2023-07-25 15:49:45,75.0036702
2023-07-25 15:50:00,165.543554
2023-07-25 15:50:15,194.03459
2023-07-25 15:50:30,188.529396
2023-07-25 15:50:45,0
2023-07-25 15:51:00,9.6000008
2023-07-25 15:51:15,4
2023-07-25 15:51:30,0
2023-07-25 15:51:45,0.8
2023-07-25 15:52:00,219.2231533
2023-07-25 15:52:15,110.4
2023-07-25 15:52:30,6.4
2023-07-25 15:52:45,0
2023-07-25 15:53:00,5.599999
2023-07-25 15:53:15,0
2023-07-25 15:53:30,308.34706
2023-07-25 15:53:45,0
2023-07-25 15:54:00,0
2023-07-25 15:54:15,70.595756
2023-07-25 15:54:30,60.752736
2023-07-25 15:54:45,4.8
2023-07-25 15:55:00,17.600001
2023-07-25 15:55:15,0
2023-07-25 15:55:30,101.000005
2023-07-25 15:55:45,6
2023-07-25 15:56:00,308.27438
2023-07-25 15:56:15,0
2023-07-25 15:56:30,7.2
2023-07-25 15:56:45,0
2023-07-25 15:57:00,0.8
2023-07-25 15:57:15,222.9127848
2023-07-25 15:57:30,164.8
2023-07-25 15:57:45,217.6380612
2023-07-25 15:58:00,0
2023-07-25 15:58:15,0
2023-07-25 15:58:30,6.4000004
2023-07-25 15:58:45,0
2023-07-25 15:59:00,0
2023-07-25 15:59:15,8.014626
2023-07-25 15:59:30,0
2023-07-25 15:59:45,41.45968
2023-07-25 16:00:00,365.2643902

